uid,compound,count
47743894,48568,5
47743894,48569,5
47743894,54039,3
47743894,1247834,7
47743894,183800,1
47743894,15833096_288313,3
47743894,183801,1
47743894,183802,3
47743894,26862_21899806,2
47743894,183803,3
47743894,165125,3
47743894,187581,4
47743894,183804,3
47743894,187582,4
47743894,183805,4
47743894,165140,3
47743894,165141,3
47743894,183807,4
47743894,165142,3
47743894,23880,4
47743894,1406320_15704140,2
47743894,165146,2
47743894,73143,4
47743894,165148,3
47743894,131771,3
47743894,886115,7
47743894,26910,2
47743894,17058545_288315,2
47743894,26912,2
47743894,27264,1
47743894,26913,2
47743894,25915_381365_29448591,3
47743894,26914,2
47743894,27266,1
47743894,26915,2
47743894,70273,4
47743894,9145185_26899,3
47743894,27267,2
47743894,26896,1
47743894,26916,2
47743894,26917,2
47743894,297930,2
47743894,26898,2
47743894,26918,2
47743894,297931,2
47743894,297932,3
47743894,74749,3
47743894,52074,3
47743894,53788,4
47743894,56508,4
47743894,60948_30529581,4
47743894,997064,5
47743894,15910321_52323_7998948,2
47743894,6800,2
47743894,25916,2
47743894,29968773_74751,3
47743894,1326000,4
47743894,54654,3
47743894,85552,4
47743894,34125,5
47743894,81100,5
47743894,1693058_15788149,3
47743894,739308,4
47743894,588668,7
47743894,81101,6
47743894,465319,3
47743894,54921,4
47743894,104332,4
47743894,104333,4
47743894,19583376_27265,1
47743894,624502,2
47743894,6399987_4932_8540997,2
47743894,11349984_18013385_128932,6
47743894,1306392,2
47743894,48570,3
47743894,1014814,7
47743894,53099_13209751,4
47743894,48571,4
47743894,287767_17156727,3
47743894,48572,5
47743894,48573,3
47743894,150986,1
47743894,48574,3
47743894,48575,4
47743894,150988,1
47743894,48576,7
47743894,183771,4
47743894,48577,7
47743894,193713,4
47743894,48578,6
47743894,1454994_16930420,4
47743894,165130,3
47743894,1324195,4
47743894,165132,3
47743894,187575,3
47743894,187576,3
47743894,187577,3
47743894,187578,3
47743894,81182,5
47743894,587680_7997703,7
